"","x"
"1","그냥 미쳤습니다. 2번보러갑니다 "
"2","연출이 미쳤구요 스토리가 너무 감동적입니다 후반부에는 보는 내내 울었네요  "
"3","영화광인데 평점 남긴 거 처음....진짜 레전드 "
"4","한 번 본 영화 또 안보는데 너무 재밌어서 또 보러갈거임 "
"5","와 미쳣다 다음편이 극장판으로 나올지는 모르겠지만 꼭 보십쇼 여러분 전 오늘 4dx 로 또 보러갑니다. "
"6","옆에서 자꾸 훌쩍이는 소리가 들리더라구요,,, 재밌었습니다 "
"7","꼭 봐야 합니다 가슴이 웅장해집니다.... "
"8","말이  필요없음 울뻔한거 참고 겨우봤다 "
"9","귀멸의 칼날 팬이라면 처음부터 끝까지 소름끼치면서 볼 재미있고 멋있는 영화 "
"10","렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! ..."
"11","렌고쿠를 왜 죽였습니까아아아아악!!!!ㅠ 크레딧에 나오는 오에스티가 너무 슬퍼요 "
"12","아카자 처음 등장할때 브금이랑 위압감 진짜 오져서 소름돋았.. 만화책으로 볼때는 이정도는 아니였는데작화가 대박이라 몰입감 쩔게봤어요 "
"13","술먹다가 도저히 궁금해서 못참아서 뛰어감끝나고 여자화장실에 코푸는소리내가 오타큐라니내가 오타쿠라니...!!! ㅠㅠ "
"14","너무 좋아 진짜 귀칼!!!! "
"15","알고 있는 내용이지만 마지막에 눈물나네요 "
"16","마지막액션신에 다들 숨참고보는게 느껴졌다 "
"17","TV판보다 더 화려한 액션들을 볼 수 있음 "
"18","보는데 3번울었네요 감동의 쓰나미에요 ㅜ 한번더봄 "
"19","오타쿠도 아닙니다. 일본을 마냥 좋아하는 사람도 아닙니다. 흥행에 이유가 있는지 없는지 눈으로 판단하기위해 직접 가서 봤습니다. 진짜였습니다. 간만에 영화관에서 봐야하는 영화였고, 오히려 정치색에 퇴색된 명작이었습니..."
"20","끝나고 렌고쿠 밖에 생각 안남 극장에서 보길 잘했다 ㅠ "
"21","수능 끝난 아들과 함께 나이 오십에 애니 보고 눈물이 났습니다.남자의 신념을 느낄 수 있는 영화입니다 "
"22","진짜 말도안되게 눈호강 귀호함 "
"23","레전드 갬성 지립니다 꼭 보세요 "
"24","탄지로의 꿈에서 핑 돌았던 눈물이, 렌코쿠 전투씬에서 쏟아져내림ㅜㅜ  또보고싶다.... "
"25","이제서야 귀멸을 알게되서 1기 24시간도 안되서정주행다하고 뛰어가서 극장판보고옴 ㅠㅠㅠㅠ사랑해요 귀멸 "
"26","렌고쿠 그는 빛빛빛... "
"27","도랏음..두번봤음 걍 미침 "
