"","line_text_star_final","line_text_final"
"1","5","한드 스타트업 보세요~"
"2","2","지루햇어요  그냥 심심할때"
"3","2","위에평점은 영화보고쓰는거야 지금껏 본영허ㅏ중에 최고로 최고로 노잼"
"4","6","엣지 오브 투모로우가 티오피이면 리스타트는 믹스커피"
"5","1","평점 알바들인가"
"6","6","적당한 가벼움에 안어울리는 무거움"
"7","8","액션 연기는 좋았지만 스토리가 부실했다 다시 리스타트 해서 다시 만들도록"
"8","2","높은 평점에 속았습니다이거 보다가 너무 재미없어서 여자친구랑 손잡고 집으로 돌아갈까했어요"
"9","10","간만에 꿈잼 영화 봤습니다 강추"
"10","5","액션 보는 재미 팝콘무비"
"11","7","결론이 생각보다 영"
"12","1","이거보고 잼있다고 한넘들은 영화볼때 잤냐"
"13","1","완전B급영화멜깁슨 나오길래 평타는 할줄 알았는데얼굴마담으로 몇컷 나온거에 속았네시나리오 구성 그냥 B급"
"14","9","킬링타임용으로 좋은 영화입니다 재밌게 잘 봤습니다"
"15","2","간만에 영화보다 나옴지루해서 미치는줄 알았다ㅠ"
"16","2","액션만 있고 내용과 결말엔 허무만 남겼다"
"17","6","의외로 재밌었습니다 처음엔 그냥 B급 영화인줄 알았는데 나름 짜임새도 있고 참신한 면도 있었어요 나오는 줄도 몰랐는데 오랜만에 멜 깁슨도 반가웠습니다 주인공이 캡틴의 명대사 말할 때 웃겼어요 결말이 조금 아쉽"
"18","6","킬링타임용으로도 좀 부족한 정도"
"19","8","초반에는 좀 지루하나 괜찮아짐 검술액션 최고"
"20","7","I am Guanyen Guanyen has done it 세뇌 당함 ㄷㄷㄷ"
"21","10","지루할틈이 없는 연출에 통쾌한 액션영화관에서 봐야 재밌어요 ㅎㅎ"
"22","10","진짜 쉴새없이 쏘아 붙이네"
"23","10","게임에서 빠져나올 때처럼 결말도 허무하다"
"24","10","액션영화 좋아하시는 분들은 꼭 보시길"
"25","8","반복적이나 반복적인 영상이 아니라 다행액션은 끝내줘요"
"26","8","무조건 보삼 돈아깝지안음 쿠키영상없어요끝"
"27","7","목을 왜케 썰어대는겨 주인공이 목이 몇번 달아나는지 카운트 하게 되네 원제는 Boss Level인데 리스타트 글쎄 제목은 원제가 나은듯"
"28","8","긑이 좀 허무해서 들치이정도면2편도 기대됨"
"29","10","평일 저녁이라서 혼자 전세내고 봄혼자낄낄대며 재밌게봤네요아임 관옌~"
"30","8","액션 영상미 스토리도 나쁘지 않고 간만에 정말 볼만한 영화가 나왔다 반복적인게 지루하다고 하는분들 이해가 안되는게 설정부터 그런건데 지루하다고 하지 마십시다 데드폴 킹스맨 이랑 비슷하다고 하는데  보니까 뭔지 알겠음"
"31","7","같이 관람한 와이프 평 나쁜X 이네"
"32","10","재밌게 봤습니다 ㅎㅎ 마지막에 뭔 2부 나올거 같은 느낌"
"33","10","와  잼따 의외의 스트레스해소"
"34","9","액션영화에 시나리오 작품성 따위 논하며 비평하는 분들은 보지 마셈엣지오브 투모로우 + 데드풀 믹스된 액션 화끈한 영화였음"
"35","2",""
"36","10","기대 안했는 데 생각보다 잼있어서 시간 훅 갔네요 ㅎㅎㅎ"
"37","8","스터리 좋고 액션좋고 코믹 요소도 있고 다 좋은데 왜 결말이 없냐 결말이 있어야 결말이 좋다 나쁘다가 있을텐데 이건 결말이 없어 뭐야"
"38","9","호쾌한 액션은 스트레스 날려버리기에 충분합니다 끝 마무리가 아쉽긴 해도 충분히 짠~한 부분도 있고요 충분히 주연의 매력을 잘 나타내 주었습니다 멜깁슨악역이 좀 짠~~~ 하네요"
"39","10","액션도 멋있었고 마무리도 잘된 재밌는 영화였다엣지오브투마로우보다 덜 죽다 살아난것 같다"
"40","9","액션이 넘쳐나고 죽음과 부활 반복하면서 여러가지 배우면서 빌런들 조치는영화"
"41","8","진짜 첨부터 끝까지 죽이다가만 끝나요 스트레스는 만땅 풀림"
"42","1",""
"43","10","2시간이라서 길줄알았는데 몰입되서 시간 금방가요 ㅎ"
"44","9","난 사랑의 블랙홀 그리고 레트로 액티브 같은 시간이 반복되는 것을 소재한 영화를 좋아한다 이영화는 생각보다 많이 박복되진 않았지만 그래서 만족한다 2021년 첫 영화였다"
"45","9","순한맛 데드풀"
"46","4","지겹게 똑같은 장면의 되풀이 액션도 없고 돈내고 보기아깝다ㅡ"
"47","5","영화 중반이 살짝 지루하고 결말이 좀 그런것을 제외하면 그냥저냥 보시기엔 괜찮습니다"
"48","8","I am Guan Yin and Guan Yin has done this"
"49","8","시간때우기 좋은영화 마지막 칼춤액션이 로맨틱함 재밌음 집중하고봄"
"50","7","거리두기 잘하고 잘 봤습니다"
"51","7","기대 안하고 보았는데도 그다지 재미 없었음"
"52","2","노잼 자다가 나옴"
"53","10","Im 관옌 관옌이 보냈노라"
"54","10","진짜 재밌어요 오랜만에 봄 액션 유머 의미 세가지 다 잘 들어간 작품"
"55","8","킬링타임으로 최고입니다 재밌네요"
"56","8","코로나 이후 최고의 액션 킬링타임용 영화"
"57","10","재밌는데 결말이 아쉽네요"
"58","6","킬링타임용일줄 알았는데 생각보다 많이 지루햇음"
"59","8","빠른 전개로 재밌게 봤는데 결말이"
"60","10","코로나 이후로 한 열번정도 영화관 갔는데  다 실패오늘 오랜만에 재밌게 영화 봤어요"
"61","9","생각보다 재미있었습니다 기존의 타임슬립 영화겠구나 생각하고 봤는데 아니더군요 끝이 조금 아쉬운것 빼고는 만족하며 봤습니다"
"62","6","평점보고 보면 100퍼 실망"
"63","10","내용 자세히 이해 안해도 액션만으로 충분하다"
"64","10","나는 관옌이다 관옌이 보냈노라~"
"65","5","너무많이살아나서쫌어지러움"
"66","10","나쁘지않은전개엿으나 결말이 생뚱"
"67","4","결말 개OO~똥싸다 끊은기분ㅉㅉㅉ 앞부분 조금 보고 다 건너띄고 1시간30분째 부터봐라ㅉㅉㅉ 앞에 하나도 안봐도 된다~~다똑같은 내용이다ㅉㅉㅉ"
"68","10",""
"69","2","당체잔인은10점"
"70","8","일어나면 반복되는 킬러들과의 대결 일상을  지루하지 않게 잘 편집 했고그 이후의 결말로 향해가는 스트리도 나쁘지 않았다"
"71","8","볼만함추천합니다 보세요"
"72","8",""
"73","10","존잼 스토리도 재밌음"
"74","7","내용은 좀 단순하긴하지만 액션이 재밌네요 조금 덜 잔인해도 될꺼같긴 합니다"
"75","10",""
"76","10","나는 매일 부활한다 아침 7시가 되면 일어나 정체 모를 킬러들과 숨막히는 추격전을 벌여야하는 남자 로이 무한 타임루프 속에서 매일 죽고 살기를 반복한다 145번째 아침 오늘부턴 내가 킬러가"
"77","6","엣지오브투모로우 기대하고보면 큰코다침어린이용 색연필로 명작을 그리려고하는 느낌이랄까이집트신화 어거지로 가져다 붙인점 횡스크롤 게임 지지직거리는 설정 등 마구잡이임"
"78","6","시작부터 보여주는 화끈한 액션은 좋았다 액션만 내용은 이해하려 하면 안 된다"
"79","10","초반에 좀 지루하긴 했지만 나름 볼만했습니다~"
"80","10","나만 당할 수 없지  심지어 썸녀랑 봤는데 아오 ^^ 여러분 연인이랄 꼭보러가세요 강추 숨은 띵작 돈 주고 꼭보셔야 해요 꼭이여 ㅠㅠ 너무 재밌어요"
"81","8","주인공이 자기의 목표를 위해 실패해도 계속 될때까지 도전 하는 부분이정말 맘에 들었음그리고 검술씬이 너무 허접함 날라다니면서 총알도 피하면서 가까이서 붙으면  갑자기 욀케 허접해지냐"
"82","10","연출 연기가 너무 좋았어요 ㅎㅎ 프랭크 그릴로도 너무 멋있구요"
"83","8","엣지오브투모로우 하위버전"
"84","9","럼로우 형이 연기 참 잘했는데액션도 좋았는데결말이 좀 읭"
"85","6","다 좋다가뒤가 왜그럼이미 일어서가는데 다른사람들 몬가 나올줄알고 안 일어남한국감독인가다 좋다 뒤를 왜 이리 만들어놨지순간 미드인줄"
"86","9","내가 9점을 준 이유 > 이 영화 결말이 뭔지 모르겠다"
"87","7","B급 냄새가 나지만 영화 자체만의 느낌이 분명히 있다 그 허세를 영화 끝까지 밀고 간다  근래 개봉한 액션영화 중 가장 괜찮다  특유의 지리함 어설픔이 조금 있지만 그래도 주인공의 똘끼가 영화를 끌고 나가서"
"88","7","흥미로운 소재를 바탕으로 오락영화로서 기대이상의 매력을 발산한다"
"89","1","핵노잼너무 재미없어요 기대안하고 보면 재밌다는 리뷰보고 기대안하고봤는데 노잼이라서 중간에 잤어요영화보면서 잔건 처음이예요"
"90","6","타임루프 장르를 좋아하고 매력적인 배우들도 나와서 재밌게 보긴 했다 하지만 풀어가는 맛은 좀 시시하다 생뚱맞게 가족애를 강조하는 부분은 어색 액션으로 계속 달리지 그랬냐"
"91","6",""
"92","8","엔딩이 좀더 확실했음 좋았겠지만그거빼곤 잼있게 봤어요"
"93","4","똑같은 내용이 반복되고 결말이 너무 허무하네요"
"94","10","아임 관옌 관옌 해즈 던 디스"
"95","10","액션 재미 다 좋습니다 킬링타임용으로 딱이네요"
"96","4","보자가잠듬컨디션땜인가"
"97","10","생각보다 재미있게 잘봤네요"
"98","10","그냥 극장온 값어치 한다"
"99","1","쓰레기 같은 영화중국투자 + B급 이하의 전개 + 정말 이게 끝인가 싶은 결말 + 2021년 영환가 싶은 CG아무리 영화관이 힘들고 개봉하는 영화가 없더라도 이런 영화가 상영관에 걸리고 평점이 8점이라는게 놀랍다"
"100","10","기대를 하나도 안하고 봐서 그런가 재밌었습니다 결말은 좀 허무해"
"101","5","잘 나가다가 정리를 못하네"
"102","5","재기발랄함을 끝까지 밀고 나갔더라면"
"103","1","투모로우 엣지 생각하고 봤는데 댓글알바좀 제발그만써라 진짜 돈벌이가 그렇게 없냐 알바들아 오랜만에 영화본건데 손발이 오그라든다 영화도 필름 아낄라고한건지 복사붙여넣기 엄청많고"
"104","8","재밌긴 했는데 시나리오 쓴 사람이 결말 내기 포기한 듯 하긴 그렇게 벌려놨는데 수습하긴 힘들지 액션씬은 재미난데 거기 올인한 것 같음"
"105","8","원코인 클리어를 위해 얼마나 많이 노력했었던가"
"106","6","나오미 이뻐요아름다우셔"
"107","5","누구 말을 믿어야 할지호평도 다 맞고 혹평도 다 맞으며 악평도 다 맞아떨어지는 영화"
"108","7","요즘 볼만한 액션 영화도 없던데 이정도면 괜찮네"
"109","8","처음엔 조금 지루한데 나름 의미 있는 영화였어요"
"110","10","짜릿한 액션에 나오미 왓츠 멜 깁슨등 연기력 좋은 확실한 배우들 모처럼 재미있게 보았습니다"
"111","1","도입부만 흥미진진 SF는 절대 아니고 코미디도 아니고 말미에 간신히 가족영화 라고 하기엔 똑같이 반복되며 죽고 죽이는 장면들이 쌓이고 쌓여 산더미 마치 디즈니가 비디오용으로 대충 만들어 낸 듯한 어덜트"
"112","8","초반에는 좀 중간부터 재밌음"
"113","2","노잼 설명충 오락 영화 재미없음"
"114","2","소재는신선했는데 스토리가영"
"115","2","딱 b급 저예산영화 초반에는 웃기고 액션좋고 느꼈는데 같은장면 같은 장소 개속 나오니 지루해지고거이 끝도 어디서나 볼수있는 멜로라 다시는 안볼거 같음 돈 아깝다 비싼 배우들로 캐스팅했는데 이런 저예산 영화에 예매표값"
