"","line_text_star_final","line_text_final"
"1","6","억지웃음포인트 남주가 너무찌질이 찐따캐릭터라서 불호 연출이 12세용이라 찐으로 기대안하고봐야됨"
"2","5","가볍지만 재밌고 진지할 땐 진지했다 교도소에서 하는 대사가 틀린 말은 아닌 거 같다"
"3","6","기대는 금물    긴장감 확확 조여오는  액션 코메디  보여주고 싶은게 많아서  탈란듯남ㆍ여  주  둘  대사  호흡이  별루   스마트 폰에서  보기  딱"
"4","8","줄리엔강 반전이네"
"5","8","줄리엔강 반전이네"
"6","1","1점이 아닙니다 11점을 주고 싶은 마음입니다"
"7","7","A급과 B급사이의 애매한 영화 남주 목소리 이상함 중간중산 웃음을 주긴함 킬타임으로 적절 VOD대박"
"8","10","보는 내내 즐거웠어요 즐거운 오락영화입니다"
"9","1","생각없이 봤는데 재밌네요주말에 볼거없을때 보면 부부사이도 좋아질정도로재밌네요 강추"
"10","2","진짜 삼류 영화  최악임"
"11","7","앞부분은 좀 지루한데 그래도 뒤에 액션 장면이 시원시원해서 좋았음 너무 기대하고 보면 점 실망할 듯 그냥 가볍게 보기 좋은 영화 그리고 제일 중요한 거는 김영광이 개잘생겼음 이선빈도 겁나 이쁨"
"12","1","그냥 그저 그랬어요ㅠ 모든 스토리와 내용이 짬뽕된 둣한 느낌이었습니다"
"13","9","처음부터 끝까지 유쾌해서 좋았습니다 가볍게 웃으면서 봤고 두 배우의 시너지도 좋았어요 익숙한데 묘하게 중독되는 맛이 있는 영화에요 오랜만에 가볍게 웃으면서 즐겼습니다"
"14","10","김영광의 존재가 돋보였던 영화였어요~ 이선빈배우랑 둘다 캐릭터 소화도 잘해서 그런지 캐미도 웃으면서 영화 내내 즐겁게 봤습니다"
"15","10","김영광이랑 이선빈의 액션연기도 괜찮고 중간중간 웃음 포인트도 나쁘지 않아 재밌게 봤음"
"16","10","김영광 액션 모야모야 세상깜놀 코믹한 모습도 좋지만 진지한 연기도 잘 어울린당"
"17","8","재밌음 코로나때문에 빛을 못보고있는거같음 뭐지 밑에알바라는데 알바아니고 내돈내고 봤는데생각보다 재밌던데 욕 ㅈㄴ 먹고있네"
"18","1","제발 알바들인지 팬덤인지 모르겠지만 이런식으로 후기 남기지 마세요 여자친구랑 코로나때문에 서울에서 용인까지 자동차극장 찾아가서 후기 믿고 봤다가 참다참다 30분만에 나왔습니다 대체 어디가 웃긴건지 닥터"
"19","10","코믹하면서 스릴있고 지루하지않은 전개과정관람 잘했습니다"
"20","8","아이랑 보기도좋고 편하게볼수있어요액션이 생각보다 볼거리가좀있었구코믹요소도 간간히아이는 잼있다하더라구요ㅎ 뻔한코믹액션물이지만배우들도 좋구 갠찬게 잘봤습니당~"
"21","10","김영광이 다 살린 영화 였네요"
"22","10","너무 재밌음 김영광 잘생겼음 엔차관람 할 거임"
"23","10","답답한 요즘에 딱 웃기좋은 영화김영광의 코믹연기도좋았지만액션이 너무 멋졌어요"
"24","1","아 평점 알바쓰냐 액션씬 500점 스토리 5200점 개연성 52000점 극한직접 따라하려다가 개 망한 영화최근들어 가장 돈 아까운 영화^^ 연기도하 할말하않"
"25","1","진심 이게 재밌다고 유치원 수준 코미디에 딱한번 피식 했다 영화관에서 웃는 사람 아무도 없더라 스토리 개연성은 그냥 기대하지 마시길 그나마 후반부 액션은 좀 볼만함 알바들 댓글조작 그만해라"
"26","8","오랜만에 영화봤는데 배우진 연기력 좋구 재밌게 잘봤습니다강추"
"27","10",""
"28","10","엄청 재미있어요 계속 깔깔깔 웃음이 나와요김영광이 엄청 웃기게 말함 크크"
"29","10","아무생각 없이 보러 갓는데 재밋엇어요~"
"30","10","재밋고볼만해요"
"31","8","연기력도 좋았고 지루하지않고 재미있네요"
"32","10","꾸르재매ㅒ에에엠ㅎㅎㅎㅎ"
"33","10","꿀잼입니다 여자친구랑 깔깔거리면서 봤네요"
"34","8","뻔한스토리지만 코로나 시기에 힐링하기에적당한것 같아요"
"35","8","재미는 있지만 김영광님 얼굴이 더 유잼이었음"
"36","1","안 속는다~~~~ㅎㅎㅎ"
"37","9","내안의그놈히트맨오케이마담 의 뒤를잇는가족액션영화갠적으로 이런류 좋아함 재밌었어요특히 김영광 각성후 액션 볼만했음"
"38","10","넘 재밌게 봤어욤 이선빈 너무 예쁨 ㅠ"
"39","10","너무 재밌었어요 김영광 너무 잘 생겼어요ㅠ"
"40","2","다 댓글조작이야 웃기려고 넣은 장면 같은데 별로 웃기지도 않았고 결말도 별로였음ㅜㅜ 액션신에서 멋있다고 생각한 장면들은 있었는데 결론적으론 비추"
"41","2","핵 노잼 다 댓글 알바임B급도 아닌 C급임"
"42","6","왜 평점 950 속아서 봤는데 노잼 웃기지도않음"
"43","1","더러워요꽃뱀이네 미인계네 개그요소가 이렇게 밖에 없을까한국인이 중국어하면 중국인이고 너무 저질이라 못봐주겠네요 돈아까워 죽겠어요"
"44","8","B급코믹에 웃은 나를 볼 수 있었습니다"
"45","8","재미는 그럭저럭 있었으나 높은 평점에 비해 기대에 못미쳤던 뻔함이 아쉬움"
"46","6","김영광 귀여우면서 멋있어요"
"47","2","휴할말하않 돈아까워죽겠다"
"48","1","진짜 다 댓글 알바구나주연부터 조연까지 싹 다 어설프고 내용도 어설프고 어디서 웃기려고 하는지는 알겠는데 어설프고 진짜 개노답 영화"
"49","8",""
"50","10","웃으면서 재밌게 봤습니다"
"51","9","간만에 국내영화 잼있게 봤네요"
"52","8","기대 안하고 봤는데 재밌었습니다"
"53","10","리얼 꿀잼 보면서 많이 웃었네요 꼭 보세요"
"54","9","생각없이 웃기 좋은 영화인것 같아요"
"55","7","김영광연기가 돋보인 영화 킬링타임용 결말이 조금 아쉽"
"56","10","코믹과 긴장감이 지속적으로 연결되어 지루하지 않았음"
"57","10","영화관에서 엄청 웃고왔습니다 진짜 재밌어요"
"58","8","킬링타임용으로 괜찮습니다"
"59","10","재밌"
"60","8","한국액션영화재밋음"
"61","8","오랜만에 즐겁게 봤네요"
