"","line_text_star_final","line_text_final"
"1","10","인생영화 등극 뚜둥"
"2","10","누구도 부인할 수 없는 판타지영화의 시작"
"3","10","우리나라사람들 영화 오지게안봤었나보네 35만명 ㄷㄷ"
"4","10","재개봉 해주세요다시 보게 ㅜㅠ"
"5","10","B급영화를 만들던 반지의 제왕 덕후인 b급 감독이 덕력을 발휘하여 작정하고 만든 역대급 명화 이 시리즈로 그는 조지 루카스 스티븐 스필버그 제임스 카메론 크리스토퍼 놀란 등과 어깨를 나란히 하는 명감독이 되었"
"6","10","살아생전 이영화를 볼수있게 되어 정말 감사합니다"
"7","10","샘 이 영화 구니스의 주인공이었단 사실을 최근에야 알았다리"
"8","10","호빗들 트롤짓 개쩜 말 개 안들어"
"9","10","뭐가지루하지그냥 최고인데"
"10","10","팬티한장  챙겨입고 봐라 그냥 싼다"
"11","10","이영화 재미없다고 하는 놈들 특징 영화볼줄모름"
"12","10","머더 이상 설명이 필요함"
"13","10","영화는 개인취향이 있는거다 근데 이 반지의 제왕 시리즈가 재미없다는애들은 취향문제가 아니라 뇌가 이상한거다"
"14","10","해마다 몇번을 봐도 질리지 않는 최고의영화"
"15","10","보통 러닝타임이 길면 짜증나지만 러닝타임이 길어서 좋았던 영화"
"16","10","100년에 한번 나올까 말까한 이 완벽한 판타지 영화를 다시보는 것만으로도 큰 추억이 될 것이고 처음보는 이들에겐 인생 영화가 될 것이다"
"17","10","인생영화  내 인생 최고의 영화"
"18","10","살아있길 잘했다 앞으로 10년 더 살면 또 볼 수 있을라나"
"19","10","오늘 다시 영화관에서 반지의제왕을 봤다 ㅠㅠ 큰 스크린과 웅장한 사운드로 봐서 너무 좋았음 ㅠㅠ 메리 피핀 샘 프로도 너무 귀엽 ㅠㅠ 나도 샤이어에 살고 싶음"
"20","10","드디어 이 영화를 스크린을 통해서 볼 수 있었다감사합니다"
"21","10","재개봉을 해준 씨쥐비가 사랑스러워졌다"
"22","10","반지의 제왕 이 영화는 내가 죽을때까지 내가슴속에서 잊혀지지않을것이다"
"23","10","내평생최고의영화다 초딩때부터 십오년이지난지금까지도 반지원정대부터다시보면 정말요즘영화에 후달리지않는영화임 대박극찬임너무재밌어요알럽피터잭슨캐릭터피규어부터게임책 전부모아도 다시보고또봐도너무너무재밌어요내인생최고의"
"24","10","걍 내 인생영화 ㅠㅠㅠㅠ"
"25","10","반지의제왕은 123탄 정말 모든편이 예술이다 죽기전에 꼭 봐야할 영화이고 디테일과 힘들이 느껴지는 한마디 한마디의 대사들 1편은 정말 색채를 이용한 영상미 특히 동굴 씬은 최고의 장면들로 만들었고 그냥 말도"
"26","10","최고였다 잊지않을것이다"
"27","10","말이필요없는 최고의작품"
"28","10","최곱니다 아직도 dvd방 가면 이 영화만 봅니다"
"29","10","봐도봐도 또 보고싶네학교에서도 계속 반지의 제왕 생각만 나요~~"
"30","9","마음만은 10점 주고싶지만 너무 오버하는것 같아 보일까봐 9점 드림맨날 판타지계 최고 라느니 최고의 시리즈라느니 입버릇처럼 말하는 이유가 있음영상음악특히연기메세지 모두 다 완벽하면서도 너무 재밌는 영화"
"31","10","역시 완성도 높은 영화 다시봐도 훌륭하다"
"32","10","29아잰데 급식때보고 지림 다시봐도 지림"
"33","10","92 대라니  예술에 만점은없기에 이영화는 98 톨킨의 원작 시리즈와 호빗 실마릴리온 등등은 9999 가 적합하다"
"34","10","고3들 여기서 정모하냐"
"35","10","S10 V10 D10 A9 　역사상 가장 위대한 판타지의 서막  독보적인 영상미와 잘 표현된 세계관 매력적인 캐릭터들에 빠져 시간가는 줄 모른다"
"36","10","내 인생 최고의 영화 앞으로 이 영화를 뛰어넘는 판타지 영화가 나올까"
"37","10","판타지계의 양대산맥 그렇지만 질은 더 위"
"38","10","호빗이 뿌리라면 반지의 제왕은 나무라는 말이 있죠 그만큼 대단하고 방대한 숲은 실마릴리온입니다 원작들을 다 읽어봤지만 진짜 톨킨 선생님께서 창조한건 최고의 판타지이자 역사입니다"
"39","10","OOO전 영화지만 지금 나오는 어떤영화를 통틀어도 이영화를 못따라온다"
"40","9","95점 명작 판타지 영화 23편이 있는 줄 모르고 극장에서 봤을 땐 결말에 너무 실망했지만 훌륭한 3부작의 시작 3부작의 시작인 만큼 23편보단 느슨한 진행이 아쉬움"
"41","10",""
"42","10","감히 제가 평점을살아생전 이 영화를 보게 해주셔서 제가 영광입니다"
"43","9","이야기의 시작 이렇게 시리즈 이어서 본다는게 고마울 뿐"
"44","8","지금 이 영화가 끝난후 과거 어릴적 이 영화를 보고 재미없다 느꼈었던 내가 너무나도 한심해지는 순간"
"45","10","내 인생 최고의 영화♥특히 스토리가 너무 좋았다 번지의 제왕 짱짱맨"
"46","10","갓판타지 영화여서 100년이상 거뜬할듯"
"47","10","아직도 내 주변에 해리포터 좋아하는 사람들 많은데 솔직히 반지가 더 레전드라고 생각함"
"48","10","향후 200년 동안 없을 절대 불후의 명작 반지의 제왕 레거시는 절대 뛰어넘을 수 없을 것"
"49","10","샘이 멱살 잡아서 끌고 간 프로도"
"50","10","뉴질랜드 남섬을 여행하고 다시 정주행 한 영화앞으로 이런 대서사가 또 나올까 싶다"
"51","10","20년가까이 지나고 봐도 영화 그자체 인생영화"
"52","10","넘 재미써영봐주솅ㅁ"
"53","10","ㄹㅇ인생영화입니다꼭 보세요"
"54","10","내 인생 영화다지금은6학년이지만 오래도록 다시볼것"
"55","10","미쳤다 진짜로"
"56","10","전무후무한 판타지영화"
"57","10",""
"58","6","또 봐도 재밌네요"
"59","8","재밋고 잠안올때 수면제로 써도 좋구 여러모로 쓰임새 있어"
"60","10","말진심 정말 필요없음 평점낮게주는사람 진짜 수준낮은거임"
"61","10","최고다그냥최고"
"62","10","역사적인 시리즈의 첫 작품 판타지의 甲 of 甲"
"63","10","솔직히 내가 지금까지 본 영화 중 최고다 모든 시리즈 영화는 1편이 가장 재미있는 것인가"
"64","10","모든 시리즈가 정말 최고"
"65","10","정말 위대한 대서사시 판타지의 최고 명작"
"66","10","판타지 역사상  최고의 영화"
"67","10","말이필요없죠 굿 좋아요"
"68","10","내생의 최고의 판타지 영화"
"69","10","최고의영화 반지의제왕최고의게임 바람의나라최고의만화 디지몬테이머즈"
"70","10","지리는 영화  죽기 전에 반드시 봐야할 영화"
"71","10","이 영화를 영화관에서 보지못한게 한이다 호빗2는 꼭 영화관에서 봐야지"
"72","10","진짜 10점이 모자란영화죽기전에 꼭 하고싶은게 있다면 이시리즈 다시보기"
"73","10","짱이야반지의제왕짱이야"
"74","10","이영화는 미친거임"
"75","10","내가 초딩때 이거보고 쩐다괴물이 징그럽다  이런생각 하곤 그랬는데 지금보니 정말 대명작이다 최고다"
"76","10","그런데 네이버 줄거리에 왜이리 오타가 많나요  그리고 원래 반지는 엘프의 반지 3개 난쟁이의 반지 7개 인간의 반지 9개 해서 19개에요 절대반지 합하면 20개고 다만 사우론이 그중 11개밖에 되찾지 못했을"
"77","10","사랑사랑사랑사라아사"
"78","10","전시리즈 영화중 최고의영화"
"79","10","원정대가 모이는것만으로도 설레다니"
"80","9","영화사에 기록될 판타지 전설의 시작"
"81","10","역시 21세기 최고의 판타지"
"82","10","중학교때 처음 봤고 지금 10년도 넘었지만 내 인생의 최고의 영화를 꼽으라면 당연 반지의 제왕 시리즈를 꼽는다 스토리 영상 연기 음악 뭐 하나 빠지는거 없는 진정한 예술의 걸작이다~"
"83","10","호빗 보고 반지원정대 보니까 감회가"
"84","9","지금으로부터 12년전에 만들어졌다니"
"85","10","말로 표현을 할수가 없다 그냥 죽기전까지 계속 반복해서 볼 예정이다"
"86","10","계속봐도 새롭게 느껴지는 내 인생 최고의 영화"
"87","10","명작 명작 명작 명작 명작"
