"","line_text_star_final","line_text_final"
"1","10","어벤저스 시리즈보다 훨씬 재밌었음~~^^"
"2","5","에헤이 클났네 dc왜이러나"
"3","6","에즈라밀러가 귀엽고원더우먼은 예쁘고슈퍼맨은 몸 좋고배트맨 벤츠가 멋지다블랙핑크 나오면 그 이후로 20초간 집중이 안되고중간중간 농담따먹기 하는 거 듣는 재미는 있다하지만 스토리는 안구에 습기찬다"
"4","1","혼자서는 세상을 구할 수 없다 슈퍼맨이 다 해먹었다 빌런의 허술함이 드러나는 작품"
"5","1","저스티스리그 해체해도 될듯 슈퍼맨 혼자서 다 이김"
"6","1","돈 처발라서 망작 만드는 클라스가 다른 잭스나이더"
"7","1","이딴영화가 평점 8점 실화냐"
"8","1","개노잼핵노잼노잼노잼노젬"
"9","3","배트맨은 역시 크리스찬베일미만잡"
"10","1","배트맨대 슈퍼맨이 재미있는 영화였다는걸 느꼈다 dc는 이제 포기 놀란의 배트맨 시리즈 빼고"
"11","1","음뭐 어벤져스따라한 느낌"
"12","1","할말을 잃었슴다 참나"
"13","1","최악 급할수록 돌아가라는데 급한 나머지 너무 많은걸 넣으려다 중구난방 남는거없이 끝남 화려하게 꾸민 액션씬도 너무 과해서 뭐가뭔지 눈이 따라갈수가 없음"
"14","1","판타지 영화치고 지루하네요"
"15","1","디씨 팬인데 이건 팬무비보다 못함"
"16","9","팀과제 조장을 고르다 결국 죽은조장을되살리는 스펙타클한영화"
"17","9","이렇게만 만들어줬으면 좋겠다"
"18","6","가끔씩 감독이 무슨 의도로 영화를 만드는 것일까를 고민하게되는데 나는 도저히 의미를 찾을 수 없다마치 솔져 장인이 혼자 5금 먹은 기분이랄까나"
"19","5","DC답지 않은 작품 지루하고 영상미도 많이 떨어짐 75정도 줄 수 있음"
"20","10","영화가 너무 짧게 느껴질정도로 재미있게 봤습니다"
"21","5","너무짧은 상영시간이 독이된듯"
"22","10","밸붕 어쩌고 하는데 애초에 크립톤인 슈퍼맨과 인간인 배트맨의 힘적인 차이를 괜히 그렇게 설정한게 아닌데 그 한계를 떠나  그들의 공통점인 인간을 사랑한다는 마음으로 함께 노력하는 과정을 그린 영환데 새캐릭터들도"
"23","10","솔직히 한 8점 주고싶은데 말도안되는 1점들이 많아서 10점줍니다 그리 잘만든 영화까진 아니어도 오점 이하로 받을정돈 아닌듯합니다"
"24","10","배트맨 너무 약하고 슈퍼맨 오지고 지리고 렛잇고"
"25","10","지금까지 DC영화중 가장 재밌었습니다"
"26","8","DC 영화는 재미없다는 편견을 깨는 첫영화인거 같다 잭스나이더 감독이라서 내용이 중구난방으로 갈것이라고 예상했지만 생각외로 여러 영웅들 얘기를 잘 정리 했음"
"27","10","배트맨 첨에 나올때 ㅈㄴ 멋있었다"
"28","10","이번 DC는 괜춘하네~"
"29","10","개봉일날 바로 보고 왔는데 완전 기대이상 믿고 봐도 좋음"
"30","10","DC히어로들의 특징을 잘 살린거 같아서 더 좋았네요 약간의 루즈함도 있었지만 그게 DC의 매력인것 같습니다^^"
"31","10","블랙핑크 뮤비    깝놀   듣는순간   잘못들었나   관객 폰에서나온줄"
"32","10","실망시키지 않는 DC 코믹스네요~~ 저스티스리그 짱"
"33","10","드디어 그들이 돌아왔다"
"34","10","맨오브스틸 본게 엇그제 같은데 벌써 디씨도 여기까지 스토리 진행이네요 무튼 이번작품 괜찮네요 정말로"
"35","10","어벤져스를 발라버리는 DC의 명작"
