"","x"
"1","20OOO에 다시봐도 명작 hd,3d로 재개봉했음 좋겠다 "
"2","확장편도 지루하지않음 "
"3","10년이넘도록볼때마다나를희망차게만드는영화 "
"4","몇 번을 다시봐도 미친거 같다 "
"5","헬름협곡 전투씬은 영화 역사상 최고의 명장면이다...상상속의 세상을 완벽하게 구현해 낸 위대한 영화...평점 따윈 무의미하다 "
"6","전설로 기억될 헬름협곡 전투신, 판타지 영화의 역사를 새로쓰다 "
"7","이런 영화에 1점짜리 다는 놈들은 벤허 이런거에도 1점 달겠지  점수 달 자격도 없는것들  "
"8","김리 진짜 너무귀여움 OO "
"9","불 붙은 엔트  댐 터져서  불꺼질때가 제일 좋았음 "
"10","로히림!!! 투더킹!!! ㅠㅠ "
"11","이제서야 보고 이기분을 지금 느끼다니.... 헬름협곡 전투씬은 안 잊혀질듯! "
"12","주기적으로 계속 재개봉했으면 좋겠다. "
"13","이때까지도 이것보다 스케일 큰 영화 안나옴.. "
"14","역대급 전투씬 ㄷㄷㄷㄱ "
"15","정말 앞으로 20년이든 30년이든 내가 죽을때까지 이 영화를 뛰어넘는 판타지영화가 과연 또 나올수 있을까? 란 의문이 드는 영화엿다.. 피터잭슨에게 감사했고 반지의제왕 캐스팅및 연기도 정말 지렸다.. 이런 영화를 접..."
"16","마이웨이 내인생 이 영화는 혼자 영화관가서 뙇 편하게 봐줘야한다. 수없이 보다보니 화장실가도될 시간대를 알고있어서 편하다 "
"17","이번에도 개봉당시 극장에서 봤던 그 감동과 전율을 다시 느끼고자, 영등포 스타리움 에서 봤습니다. 극장에서 못봤던 청소년분들 세대는 재개봉 필히 보시길.. 판타지 영화의 레전드예요. 그리고 극장에서  보실분들은 가급..."
"18","오늘 두개의 탑 재개봉 관람 한마디로 정말 짱이다 재개봉 너무 감사합니다 "
"19","10점 만점에 10점밖에 줄 수 없다는 것이 이 영화에 가장 미안한 부분이다. "
"20","피터잭슨이 얼마나 톨킨을 좋아했으면 한장면장면마다 대충만든 장면이없었다 감독 자신도 애착이많았던 영화인게 확실하다 "
"21","판타지의 정석이다....15년전에 봤지만 아직도 그때의 감동이 생생하네 "
"22","언제봐도 백색의 마법사가 된 간달프와, 헬름협곡의 전투장면, 아이센가드에서의 엔트들의 복수등은 전율이 오는 최고의 명장면이 아닐까 싶다. 이런 판타지 영화를 볼 수 있음에 새삼스레 감사하게된다. 너무나 긴 상영시간도..."
"23","Cg가 이렇게 발전했는데도 반지의제왕에 못미치는 영화들이 너무 많아... "
"24","반지의제왕같은 영화 또 안나올까요.. "
"25","간달프가 기병대 끌고올때 소리지름(자연을 보호합시다. 안그러면 엿됩니다) "
"26","이걸 처음봤을때로 다시 돌아가고싶다 "
"27","이런 영화가 다시 나올 수 있을까? "
"28","이런 영화를 만들어줘서 고맙습니다. "
"29","아니 ㅅㅂ cg기술도 이때보다 몇배나 뛰어나고, 연출능력도 기술도 다 발전했는데 왜 반지의제왕을 뛰어넘을만한 영화가 씨알도 안보일까 "
"30","5일째 되는 날 아침에 동쪽을 바라보면 전율이 시작됨. "
"31","헬릅협곡 전투씬은 10년이 지난 지금이 봐도 명장면이다. "
"32","인생최대작. 왜 해리포터랑 비교하는지 이해불가. 압도적 영화 "
"33","마블영화 광팬이지만 반지의제왕에 비하면 애들장난같네 해리포터 트와일라잇 시리즈도 못비빈다 "
"34","시간이 지나도 생각나는 판타지 영화가 있다면 당연 반지의 제왕 시리즈. "
"35","와 진짜 수만 우르크하이 군대 앞의 사루만의 연설, 핼름 협곡 전투며 뭐하나 전율이 안 느껴지는 장면이 없다 "
"36","정말 너무나도 감사합니다 이영화 시리즈 극장에서 보지못한걸 정말 후회했는데 이제보게되었습니다ㅜㅜ 정말 온몸이 떨릴정도로 전율이 흐릅니다 이런영화 이제다시는 없겠죠 "
"37","cgv 판교 진짜 너무한거 아니냐? 상영관도 제일 작은데면서 하루에 한번 상영하는데 시간대가 다 심야야.. 11,12시에 상영함..ㅅㅂ "
"38","2002년 작인데도 불구하고 요즘 나오는 영화들보다 훨씬 전달력이 강하고  CG처리도 실제 느낌이 느껴짐. 시리즈물의 연결성이 반지의 제왕 만한 영화는 매우 드물다. "
"39","액션신, 세계관 때문에 묻혀서 그렇지 보면 볼수록 반지를 두고 나타나는 우정과 탐욕... 프로도가 주인공인 이유는 운반자 역할때문이 아니라 모르도르로 가는 여정속에서 이 친구가 겪는 변화가 우리랑 똑같아서 일지가 아..."
"40","시리즈중 이게 제일 명작이지. 영화사에 길이남을 대서사판타지이기에 만점줌. "
"41","반지삼부작은 마스터피스다.. 스토리텔링완벽,cg도 수준급(지금봐도 저어어언혀 촌스럽지가 않음),영상미,캐릭터들의 뚜렷한 개성과 역할,떡밥던지고 회수도 완벽,bgm들도 훌륭.. 완벽이라는 말밖에 안떠오름.. "
"42","가장 완벽한 영화 "
"43","엄청나게 재미있습니다. "
"44","시리즈중 제일 좋아하는! 3시간 40분이라는 러닝타임이 훅 지나갔다. 10번도 볼수 있을것 같음. 스토리텔링, 연출, 미장센, 디테일, 음악까지 모든게 완벽한 총체적 예술작품. 피터잭슨은 천재인듯! "
"45","와..이걸 보니까 어벤져스 엔드게임은 아무것도 아니였다는게 느껴진다... 미쳣다 미쳣어 "
"46","10년후 또 극장에서 볼수 있었으면 좋겠다. 재개봉덕분에 3주간 너무나 행복했다.. "
"47","한번봐서는 안될영화 "
"48","티비에서대충해주는거 중간부터봐서제대로이해가안됫다 그냥cg쩌는 영화인줄알앗는대 아니다 진짜 대작이다 그리고이게OO전꺼라니 지금 개봉해도 손색이없을 정도다 배경 배우 노래 모두완벽하고스토리도 탄탄하다 어렷을때봐서잘몰랏는..."
"49","모든게 완벽 그자체군... "
"50","판타지영화의 바이블같은 존재 말이필요없다 "
"51"," 평점 10점안주는 것들은 뭐냐 대체감히 이런 명작을 평가한다니 "
"52","위대하고, 경이로우며, 장엄하다 "
"53","탄탄하고 완벽한 시나리오대로 따라가는 배우들과 감동을 배가 시키는 전쟁씬은 매우 훌륭하다. "
"54","개인적으로 1편이 너무 퍼펙트해서 후속은 조금 루즈해질줄 알았는데 갓지의 제왕은 그런거없이 더욱 진화해서 돌아왔다 "
"55","마지막 샘이 프로도에게 정신차리고 해준 말들이 정말 가슴에 와닿는다... 뚱뚱하고 외모상으론 없어보이지만 정말 진국이다 샘...  2002년 영화관에서 봤을때 정말 전율이 돟앗엇는데 언제보든 정말 위화감없는 영화. ..."
"56","이정도면 진짜 문화유산으로 등극해야됨;; "
"57","판타지계의 최고명작! "
"58","이 영화는 절대 못 뛰어넘는다. 헬름협곡 마지막 전투에서 기마부대가 내려오는 장면은 진짜 전율이 흐르면서 말할 수 없는 무언가가 느껴진다. "
"59","내 살아생전에 이런 영화가 또 나올까요..?피터잭슨 감독님 감사합니다~ "
"60","으어 쩐다 진짜 대박이다 "
"61","판타지계의 걸작.하나 놓진게 없다 "
"62","이런 명작 판타지 영화 언제쯤 다시 나올까요 "
"63","시리즈 중 최고의 작품일듯. 전투신의 강렬한 인상은 그 어떤 영화중에 최고라고 말할 수 있다. 극장에서 본게 자랑인 영화중 하나. "
"64","와.. 이거 정말 최고네.ㄷㄷㄷㄷ "
"65","울었다.. 아놔 글자수 10자 "
"66","감독판으로 1,2,3 편 다봤습니다. 15시간 걸렸네요  최고입니다 "
"67","얼마나 대작이었냐면 영화 내려가고나서 1년 인가 2년 지나서 해운대 메가박스에서 1.2.3 재개봉했는데 관중 꽉찼었음 "
"68","호빗시리즈 3편을 다보고 나서야 반지의 제왕 시리즈3부작이 얼마나 뛰어난 영화인지 다시한번 느끼게 되었다 "
"69","세편중에 전쟁씬이 가장 멋있었던 "
"70","재미 없다는 사람은 이해 못했거나 그냥 재밌다고 인정하기 싫은거임 "
"71","마지막이 무척 인상깊게남은 거같음. 헬름협곡 전투와 엔트들이 아이센가드로 진격할때가 가장 가슴을 울림. "
"72","반지의 제왕 그 이미지를 만들어놓은 두개의탑21세기 최고의 판타지영화 "
"73","호빗은 절대 반지의 제왕을 뛰어넘을 수 없다 "
"74","판타지영화는 이렇게 만드는거라고 피터잭슨이 반지의제왕을 통해 알려줬지만 10년이 지난 지금도 다른감독들은 알아먹지를 못하는거 같다 "
"75","어떤 판타지가 이토록 드워프와 엘프를 잘 묘사하였단 말인가? 아 난 그 종족들의 특성에 매료되어 버렸다. 그리고 5명 밖에 없는 선의의 마법사 간달프에게  난 혼이 뺏긴 듯하다. "
"76","복잡한 세계관을 간결하게 각본으로 재구성하고, 압도적인 영상으로 표현하는 피터 잭슨. 영화화란 진짜 이런 것이다 "
"77","영화 후반부에 샘이 한 말이 진짜 멋있었다.. "
"78","이만한 영화는 없는듯 세계최고인듯 "
"79","엘프지원군에서 눈물남 "
"80","반지의제왕에 재미가 극도로 달아오르기 시작한게 이영화의 중반부부터임..반지의제왕에 하이라이트는.. 2편의 중반부부터 3편 끝날때까지다.. "
"81","헬름협곡은 단지 시작에 불과했다. "
"82","배우들진짜캐스팅 잘한듯..반지의제왕하고 호빗본 이후로는 다른 판타지영화 진짜눈에 안들어옴ㅜ "
"83","아라곤 정말 쩌는듯 액션과 스케일 모두 대박 마지막 전투는 정말 대광경임 정말하하나부터 열꺼자 완벽한영화 "
"84","일년에 최소 1번씩 본다. 이영화에 본질을 알면 헤어나올수가 없다.최고 "
"85","워... 명작... "
"86","난 정말 반지의제왕 보면서 눈물을 흘렸다 간달프하고 에오메르가 군대이끌고와서 언덕에서 내려올때 전율이 돋으면서 눈물흘림 "
"87","아라곤 진짜 좋다 "
"88","솔직히 아바타는 이영화에 비해선 거품이다 "
"89","모든 판타지작품이 나올때마다 '반지의 제왕을 뛰어넘는' 이란 타이틀이 붙곤하는데 개인적으로 불가능한 일이라고 생각한다. "
"90","최고다 최고! 진짜 대작이면서 명작인 영화. 헬름협곡 전투씬 하나하나 입이 떡 벌어졌다. 왜 난 이영화를 영화관의 큰 화면으로 보지않았나. "
"91","그냥 미쳤습니다. 2번보러갑니다 "
"92","연출이 미쳤구요 스토리가 너무 감동적입니다 후반부에는 보는 내내 울었네요  "
"93","영화광인데 평점 남긴 거 처음....진짜 레전드 "
"94","한 번 본 영화 또 안보는데 너무 재밌어서 또 보러갈거임 "
"95","와 미쳣다 다음편이 극장판으로 나올지는 모르겠지만 꼭 보십쇼 여러분 전 오늘 4dx 로 또 보러갑니다. "
"96","옆에서 자꾸 훌쩍이는 소리가 들리더라구요,,, 재밌었습니다 "
"97","꼭 봐야 합니다 가슴이 웅장해집니다.... "
"98","말이  필요없음 울뻔한거 참고 겨우봤다 "
"99","귀멸의 칼날 팬이라면 처음부터 끝까지 소름끼치면서 볼 재미있고 멋있는 영화 "
"100","렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! 렌고쿠! ..."
"101","렌고쿠를 왜 죽였습니까아아아아악!!!!ㅠ 크레딧에 나오는 오에스티가 너무 슬퍼요 "
"102","아카자 처음 등장할때 브금이랑 위압감 진짜 오져서 소름돋았.. 만화책으로 볼때는 이정도는 아니였는데작화가 대박이라 몰입감 쩔게봤어요 "
"103","술먹다가 도저히 궁금해서 못참아서 뛰어감끝나고 여자화장실에 코푸는소리내가 오타큐라니내가 오타쿠라니...!!! ㅠㅠ "
"104","너무 좋아 진짜 귀칼!!!! "
"105","알고 있는 내용이지만 마지막에 눈물나네요 "
"106","마지막액션신에 다들 숨참고보는게 느껴졌다 "
"107","TV판보다 더 화려한 액션들을 볼 수 있음 "
"108","보는데 3번울었네요 감동의 쓰나미에요 ㅜ 한번더봄 "
