"","x"
"1","충청북도 청주시 흥덕구 장구봉로 93"
"2","충청북도 청주시 상당구 가덕면 단재로 1448"
"3","충청북도 청주시 서원구 신율로 20"
"4","충청북도 청주시 흥덕구 장구봉로 36"
"5","충청북도 청주시 흥덕구 경산로 82-12"
"6","충청북도 청주시 상당구 용암로 6"
"7","충청북도 청주시 상당구 수영로 248"
"8","충청북도 청주시 서원구 청남로 1964"
"9","충청북도 청주시 서원구 남이면 대련길 61"
"10","충청북도 청주시 상당구 남일면 단재로 630"
"11","충청북도 청주시 서원구 월평로 35"
"12","충청북도 청주시 청원구 내수읍 마산1길 114-1"
"13","충청북도 청주시 상당구 단재로 350"
"14","충청북도 청주시 청원구 1순환로339번길 86"
"15","충청북도 청주시 청원구 공항로 113"
"16","충청북도 청주시 상당구 호미로 269"
"17","충청북도 청주시 흥덕구 오송읍 만수2길 11"
"18","충청북도 청주시 서원구 쌍샘로 49"
"19","충청북도 청주시 상당구 문의면 문의시내1길 28-23"
"20","충청북도 청주시 흥덕구 풍산로 167"
"21","충청북도 청주시 흥덕구 덕암로68번길 9"
"22","충청북도 청주시 흥덕구 봉명로141번길 3"
"23","충청북도 청주시 흥덕구 월명로140번길 37"
"24","충청북도 청주시 서원구 무심서로 205"
"25","충청북도 청주시 서원구 남사로 25"
"26","충청북도 청주시 청원구 주성로 121"
"27","충청북도 청주시 서원구 산남로 102"
"28","충청북도 청주시 상당구 호미로 306"
"29","충청북도 청주시 상당구 무농정로 62"
"30","충청북도 청주시 청원구 새터로 224"
"31","충청북도 청주시 서원구 원흥로 24"
"32","충청북도 청주시 흥덕구 서경로 19"
"33","충청북도 청주시 흥덕구 가로수로 1340-6"
"34","충청북도 청주시 흥덕구 동촌로 126"
"35","충청북도 청주시 흥덕구 서현중로 7"
"36","충청북도 청주시 상당구 대성로 14"
"37","충청북도 청주시 청원구 북이면 화상석성로 505"
"38","충청북도 청주시 서원구 신화로 22"
"39","충청북도 청주시 흥덕구 대농로 42"
"40","충청북도 청주시 서원구 수곡로 73"
"41","충청북도 청주시 청원구 내수읍 내수로 601"
"42","충청북도 청주시 상당구 용담로105번길 32"
"43","충청북도 청주시 상당구 호미로 167"
"44",NA
"45","충청북도 청주시 상당구 원봉로 55"
"46","충청북도 청주시 청원구 상당로 204"
"47","충청북도 청주시 상당구 목련로117번길 109"
"48","충청북도 청주시 흥덕구 무심서로 721"
"49","충청북도 청주시 상당구 월평로 153번길 25"
"50","충청북도 청주시 서원구 원마루로 32"
"51","충청북도 청주시 청원구 율봉로212번길 14"
"52","충청북도 청주시 상당구 교서로 45"
"53","충청북도 청주시 청원구 주성로 223"
"54","충청북도 청주시 서원구 대림로 473"
"55","충청북도 청주시 청원구 율봉로 287"
"56","충청북도 청주시 흥덕구 진재로47번길 45"
"57","충청북도 청주시 흥덕구 공단로99번길 22"
"58","충청북도 청주시 흥덕구 증안로 107"
"59","충청북도 청주시 청원구 2산단2로 32"
"60","충청북도 청주시 서원구 1순환로709번길 44"
"61","충청북도 청주시 상당구 단재로 109"
"62","충청북도 청주시 청원구 오창읍 과학산업3로 228"
"63","충청북도 청주시 청원구 안덕벌로52번길 22-1"
"64","충청북도 청주시 청원구 대성로300번길 34"
"65","충청북도 청주시 흥덕구 풍산로47번길 58"
"66","충청북도 청주시 서원구 흥덕로 16"
"67","충청북도 청주시 서원구 구룡산로 291"
"68","충청북도 청주시 흥덕구 흥덕로 121"
"69",NA
