"","x"
"1","충청북도 청주시 흥덕구 장구봉로 113"
"2","충청북도 청주시 청원구 오창읍 오창중앙로 48"
"3","충청북도 청주시 흥덕구 풍년로79번길 7-2"
"4","충청북도 청주시 상당구 호미로 278"
"5","충청북도 청주시 서원구 청남로 1984"
"6","충청북도 청주시 상당구 대성로 208"
"7","충청북도 청주시 흥덕구 사운로 342"
"8","충청북도 청주시 흥덕구 짐대로 30"
"9","충청북도 청주시 흥덕구 백봉로224번길 59"
"10",NA
"11","충청북도 청주시 서원구 산남로 98"
"12","충청북도 청주시 흥덕구 가경로 41"
"13","충청북도 청주시 흥덕구 가경로189번길 61"
"14","충청북도 청주시 흥덕구 서현중로 10"
"15",NA
"16","충청북도 청주시 서원구 2순환로 1574"
"17","충청북도 청주시 흥덕구 진재로103번길 15"
"18","충청북도 청주시 흥덕구 송절로 81"
"19","충청북도 청주시 서원구 수곡로 15"
"20","충청북도 청주시 상당구 영운천로203번길 36-12"
"21","충청북도 청주시 상당구 용암로 18"
"22","충청북도 청주시 상당구 운동로 19"
"23","충청북도 청주시 서원구 무심서로 375"
"24","충청북도 청주시 상당구 중흥로 99"
"25","충청북도 청주시 서원구 1순환로1137번길 36"
"26","충청북도 청주시 청원구 2순환로 310"
"27","충청북도 청주시 상당구 영운로 126"
"28","충청북도 청주시 청원구 율량로 152"
"29","서울특별시 서대문구 북아현로11가길 7"
"30","충청북도 청주시 청원구 향군로 115"
"31","충청북도 청주시 상당구 영운천로 69"
"32","충청북도 청주시 서원구 청남로 2039"
"33","충청북도 청주시 상당구 수영로 258"
"34","충청북도 청주시 서원구 사운로 60"
"35","충청북도 청주시 상당구 사직대로361번길 125"
"36","충청북도 청주시 서원구 무심서로 377"
